Team,Season,GP,TOI_55,GF.60_55,GA.60_55,G_diff.60_55,xGF.60_55,xGA.60_55,xG_diff.60_55,SF.60_55,SA.60_55,S_diff.60_55,FF.60_55,FA.60_55,F_diff.60_55,CF.60_55,CA.60_55,C_diff.60_55,Sh%_55,Sv%_55
STL,20172018,82,3989.22,2.26,2.06,0.2,2.26,2.12,0.13,31.45,28.89,2.56,43.53,39.03,4.5,58.6,54.69,3.91,7.17,92.87
T.B,20172018,82,3901.28,3.01,2.25,0.77,2.44,2.22,0.21,32.24,31.84,0.4,44.97,42.39,2.58,59.66,55.83,3.83,9.35,92.93
TOR,20172018,82,4035.07,2.77,2.35,0.42,2.62,2.51,0.11,30.77,32.85,-2.08,43.39,45.77,-2.38,58.84,59.23,-0.39,9.01,92.81
VAN,20172018,82,3970.58,2.09,2.46,-0.38,2.13,2.5,-0.38,29.04,31.6,-2.55,39.86,43.78,-3.91,52.77,57.89,-5.12,7.21,92.15
VGK,20172018,82,3999.28,2.6,2.34,0.26,2.39,2.29,0.11,31.15,29.95,1.2,43.25,42.01,1.25,58.26,56.29,1.97,8.38,92.19
WPG,20172018,82,3901.28,2.68,2.21,0.46,2.44,2.13,0.31,31.39,29.71,1.68,43.71,40.85,2.86,58.58,55.2,3.38,8.53,92.54
WSH,20172018,82,3923,2.57,2.32,0.24,2.33,2.61,-0.28,28.14,30.77,-2.63,40.41,44.72,-4.31,54.92,59.34,-4.42,9.14,92.47
ANA,20182019,82,3975.45,2.05,2.31,-0.26,2.2,2.67,-0.47,27.86,31.18,-3.32,40.34,45.01,-4.66,54.27,59.69,-5.42,7.37,92.55
ARI,20182019,82,3949.48,1.97,2.37,-0.39,2.28,2.36,-0.08,29.87,30.31,-0.44,41.73,42.89,-1.15,56.35,59.16,-2.81,6.61,92.16
BOS,20182019,82,3993.1,2.33,1.89,0.44,2.34,2.12,0.22,31.89,27.69,4.19,44.3,38.33,5.97,58.06,51.39,6.67,7.34,93.11
BUF,20182019,82,4031.57,2.28,2.74,-0.46,2.18,2.44,-0.26,31.73,32.52,-0.79,43.34,43.68,-0.34,55.85,55.97,-0.12,7.22,91.53
CAR,20182019,82,3969.27,2.4,2.24,0.17,3.07,2.41,0.66,33.69,28.15,5.55,48.57,40.07,8.5,64.56,53.21,11.35,9.09,91.81
CBJ,20182019,82,4082.45,2.72,2.48,0.24,2.44,2.39,0.05,31.14,29.67,1.47,42.71,40.93,1.78,55.01,54.56,0.46,7.17,92.07
CGY,20182019,82,3910.18,2.84,2.29,0.55,2.56,2.28,0.29,31.55,27.91,3.64,44.45,39.28,5.17,60.52,51.96,8.56,8.58,91.88
CHI,20182019,82,4032.05,2.71,2.72,-0.01,2.3,2.75,-0.45,31.74,33.69,-1.95,41.67,44.37,-2.71,57.04,58.5,-1.46,7.62,92.26
COL,20182019,82,3839.1,2.41,2.38,0.03,2.31,2.31,-0.01,31.85,30.63,1.22,42.38,41.79,0.59,57.47,57.54,-0.08,8.81,91.59
DAL,20182019,82,4008.08,2.04,1.99,0.04,2.35,2.29,0.06,29.39,30.75,-1.36,39.45,42.33,-2.89,53.85,57.99,-4.15,6.87,93.53
DET,20182019,82,4030.05,2.19,2.64,-0.45,2.18,2.65,-0.47,28.09,32.78,-4.69,38.8,44.96,-6.16,52.18,58.56,-6.37,7.79,91.96
EDM,20182019,82,4034.98,2.16,2.65,-0.49,2.27,2.61,-0.33,28.31,31.21,-2.9,39.05,42.72,-3.67,52.77,57.2,-4.43,7.66,91.52
FLA,20182019,82,3973.83,2.45,2.85,-0.41,2.28,2.46,-0.18,31.09,30.41,0.68,42.13,42.19,-0.06,54.97,56.3,-1.33,7.86,90.61
L.A,20182019,82,4020.2,2.07,2.51,-0.43,2.2,2.36,-0.17,27.82,30.27,-2.45,39.64,43.18,-3.54,53.62,57.52,-3.9,7.47,91.74
MIN,20182019,82,3935.47,2.12,2.32,-0.2,2.35,1.99,0.36,31.27,28.05,3.22,43.24,40.16,3.08,57.51,55.39,2.12,6.76,91.66
MTL,20182019,82,3986.5,2.81,2.44,0.38,2.67,2.27,0.4,34.68,30.33,4.35,47.2,41.18,6.02,65.59,55.61,9.98,8.16,91.91
N.J,20182019,82,3865.58,2.24,2.76,-0.53,2.32,2.4,-0.09,29.6,31.71,-2.11,40.28,44.5,-4.22,51.8,58.67,-6.88,7.69,92.77
NSH,20182019,82,3910.2,2.52,2.16,0.35,2.49,2.42,0.08,32.75,30.01,2.73,45.27,41.17,4.1,59.86,54.78,5.08,7.55,91.12
NYI,20182019,82,4025.2,2.38,1.89,0.49,2.45,2.33,0.12,28.05,29.74,-1.68,38.77,41.62,-2.85,52.6,57.39,-4.78,8.57,93.66
NYR,20182019,82,3952.08,2.19,2.6,-0.41,2.35,2.63,-0.27,28.33,32.35,-4.02,38.87,45.04,-6.18,51.27,60.09,-8.82,7.76,91.93
OTT,20182019,82,4060.03,2.51,3.24,-0.72,2.3,2.63,-0.33,28.92,34.83,-5.91,40.05,47.97,-7.92,53.26,65.26,-12,8.69,90.72
PHI,20182019,82,3938.4,2.48,2.86,-0.38,2.39,2.47,-0.08,29.88,32.04,-2.16,41.36,43.27,-1.9,55.87,59.51,-3.64,8.35,91.03
PIT,20182019,82,4001.87,2.71,2.25,0.46,2.64,2.42,0.22,32.59,32.34,0.25,43.85,43.79,0.06,58.2,58.98,-0.78,8.28,93.09
S.J,20182019,82,3980.35,2.88,2.76,0.12,2.71,2.32,0.39,31.99,26.86,5.13,45.37,37.64,7.73,62.12,50.95,11.17,9.03,89.68
STL,20182019,82,3972.17,2.51,2.18,0.33,2.55,2.18,0.37,30.84,27.91,2.93,41.9,38.62,3.28,55.89,52.66,3.23,8.1,92.09
T.B,20182019,82,3913.18,3.14,2.41,0.74,2.53,2.31,0.22,32.2,30.71,1.49,44.16,41.83,2.33,58.62,55.04,3.57,9.8,92.16
TOR,20182019,82,4063.75,2.98,2.5,0.49,2.77,2.56,0.21,31.97,32.9,-0.93,46.8,46.63,0.18,64.6,60.15,4.44,9.47,92.43
VAN,20182019,82,3940.75,2.21,2.66,-0.46,2.1,2.57,-0.47,28.4,31.67,-3.27,40.15,43.41,-3.26,53.82,58.51,-4.69,7.75,91.62
VGK,20182019,82,3995.8,2.58,2.4,0.18,2.79,2.25,0.55,33.35,28.68,4.67,45.78,38.79,7,62.45,52.48,9.97,7.75,91.54
WPG,20182019,82,3958.78,2.53,2.47,0.06,2.27,2.51,-0.23,30.24,32.21,-1.97,41.83,43.97,-2.14,55.97,58.41,-2.44,10.09,92.08
WSH,20182019,82,3936.05,2.99,2.44,0.55,2.38,2.65,-0.27,29.76,30.99,-1.23,42.18,43.96,-1.78,56.62,58.84,-2.23,8.37,92.32
